's-hertogenbosch	(name) 's-Hertogenbosch
automatyczny pilot	(noun) autopilot
automatyk	(noun) a person who specializes in automation or the study thereof
automatyka	(noun) the study of automation; automated system
automatyzacja	(noun) automation; automation
automatyzacyjny	(adj) (relational) automation
automatyzm	(noun) (literary) automatism (acting automatically or involuntarily); (psychology) automatism
automatyzować	(verb) (transitive) to automate; (transitive) to automatize, to put on autopilot
automobil	(noun) (archaic) automobile, car
automobilista	(noun) (motor racing) racing driver; (archaic) driver
automobilizm	(noun) auto racing; (archaic) motorization
automobilklub	(noun) car club
automobilowy	(adj) (relational, archaic) automobile, car
automyjnia	(noun) (colloquial) car wash
autonaprawa	(noun) (colloquial) auto repair (car repairment)
autonomia	(noun) autonomy; (philosophy) autonomy
autonomicznie	(adv) autonomously (in a self-governing way); (literary) autonomously
autonomiczność	(noun) autonomicity; autonomy, autonomousness
autonomiczny	(adj) autonomous; (philosophy) autonomous
autonomiczny układ nerwowy	(noun) (neuroanatomy) autonomic nervous system
autonomista	(noun) (literary) autonomist
autonomistycznie	(adv) (literary) autonomistically
autonomistyczny	(adj) (relational, literary) autonomistic
autonomizacja	(noun) autonomization
autonomizacyjny	(adj) (relational) autonomization
autonomizm	(noun) (politics) autonomism
autonomizować	(verb) (transitive) to autonomize [+ wobec (genitive) = from whom/what]; (reflexive) to autonomize, to become…
autooksydacja	(noun) (chemistry) autoxidation
autoparodia	(noun) autoparody
autopilot	(noun) autopilot
autoplagiat	(noun) duplicate publication, self-plagiarism, autoplagiarism
autopomoc	(noun) (colloquial) roadside service
autopompa	(noun) (firefighting) water tender
autopoprawka	(noun) (authorship) self-edit (a change made to a work by the author)
autoportret	(noun) self-portrait
autoportretowy	(adj) (relational) self-portrait
autopromocja	(noun) (literary) self-promotion
autopromocyjny	(adj) (relational, literary) self-promotion
autoprotoliza	(noun) (chemistry) autoprotolysis
autopsja	(noun) (literary) autopsy (a dissection performed on a cadaver); (literary) autopsy (an eyewitness observation)
autopsyjny	(adj) (relational) autopsic
autor	(noun) author (originator or creator of a work); originator (originator of some actions)
autoradiografia	(noun) autoradiography
autoradiogram	(noun) (photography) autoradiograph
autorament	(noun) (archaic) kind, type; (historical, military) a kind of enlistment, organization, and arming
autorczy	(adj) (relational, archaic) author, authorial (originator or creator of a work)
autoreferat	(noun) a report by the author of their own work
autorefleksja	(noun) self-reflection
autorefleksyjny	(adj) (relational) self-reflection
autoregeneracja	(noun) autoregeneration
autoregulacja	(noun) self-regulation
autoregulacyjny	(adj) (relational) self-regulation
autoreklama	(noun) (business) self-promotion, self-advertisement
autoreklamiarski	(adj) (business, sometimes derogatory) self-promotion, self-advertisement
autoreklamiarz	(noun) (colloquial) self-promoter (a person who promotes themself)
autorotacja	(noun) (aviation) autorotation
autorotacyjny	(adj) (relational, aviation) autorotative
autorski	(adj) (relational) author, authorial (originator or creator of a work)
autorsko	(adv) authorially
autorstwo	(noun) authorship
autorytarnie	(adv) authoritarianly; authoritarianly
autorytarny	(adj) authoritarian; authoritarian
autorytaryzm	(noun) (politics) authoritarianism (form of government); (by extension, derogatory) authoritarianism
autorytatywnie	(adv) authoritatively; authoritatively (in a way having a commanding style)
autorytatywność	(noun) authoritativeness (the quality of possessing authority); authoritativeness
autorytatywny	(adj) authoritative; authoritative (having a commanding style)
autorytet	(noun) (countable) authority (person); (uncountable) authority
autoryzacja	(noun) (publishing) authorization given by an author for the usage of their works; authorization for the…
autoryzacyjny	(adj) authorization
autoryzować	(verb) (transitive, publishing) to authorize publication of one's works
autoserwis	(noun) car service
autosom	(noun) (genetics) autosome
autostop	(noun) (transport) hitchhiking
autostopowicz	(noun) hitchhiker
autostopowiczowy	(adj) (relational) hitchhiker, hitchhiker's
autostopowy	(adj) (relational) hitchhiking
autostrada	(noun) motorway, freeway
autostradowy	(adj) (relational) motorway, freeway
autosugestia	(noun) autosuggestion
autoszczepionka	(noun) (immunology) autovaccine
autoszkoła	(noun) automotive school
autoteliczny	(adj) autotelic (containing one's own purpose)
autotematyczność	(noun) (art, literature) the quality of being mise en abyme
autotematyczny	(adj) (relational, art, literature) mise en abyme
autotematyzm	(noun) (art, literature) mise en abyme
autoterapeutyczny	(adj) (relational, medicine) autotherapeutic
autoterapia	(noun) (medicine) autotherapy; (medicine) autotherapy (self-treatment of a medical condition)
autotomia	(noun) (zoology) autotomy
autotransformator	(noun) (electrical engineering) autotransformer
autotransfuzja	(noun) (medicine) autotransfusion
autotransplantacja	(noun) (surgery) autotransplantation
autotrof	(noun) (biology) autotroph
autotrofia	(noun) (biology) autotrophy
autotroficzny	(adj) (relational, biology) autotrophic
autotrofizm	(noun) (biology) autotrophy
autotypia	(noun) (photography) autotypy
autotypografia	(noun) (photography) autotypy
autotypowy	(adj) (relational, photography) autotypic
autoutleniacz	(noun) (chemistry) autoxidator
autoutlenianie	(noun) (chemistry) autoxidation
autowakcyna	(noun) (immunology) autovaccine
autować	(verb) (transitive, soccer) to move the ball to the touch; (transitive, colloquial) to out (to eject; to expel)
autowy	(adj) (relational, sports) touch
autożyro	(noun) (aircraft) autogiro
autunit	(noun) (mineralogy) autunite
autycznie	(adv) (clinical psychology, rare) autistically
autyczny	(adj) (relational, clinical psychology, rare) autistic
autyk	(noun) (clinical psychology) autist
autysta	(noun) (clinical psychology) autist
autystycznie	(adv) (clinical psychology) autistically
autystyczny	(adj) (relational, clinical psychology) autistic
autystyk	(noun) (clinical psychology) autist
autyzm	(noun) (clinical psychology) autism
auć	(intj) ouch (expression of one's own physical pain)
auł	(noun) aul
ave	(intj) ave! (reverential salutation)
awal	(noun) (finance, law) aval
awalansza	(noun) (rare) avalanche
awalista	(noun) (economics, law) guarantor, surety (of a bill)
awangarda	(noun) (art) avant-garde (group of people promoting new concepts); (art) avant-garde (the general art movement)
awangardowo	(adv) in an avant-garde manner
awangardowość	(noun) (literary) innovativeness
awangardowy	(adj) avant-garde; (relational, not comparable) avant-garde (related to avant-garde in art)
awangardysta	(noun) (art) Alternative form of awangardzista
awangardystka	(noun) (art) Alternative form of awangardzistka
awangardyzm	(noun) (art) avant-garde, avant-gardism (the general art movement); avant-gardism
awangardzista	(noun) (art) avantgardist
awangardzizm	(noun) (art) Alternative form of awangardyzm
awania	(noun) (dated) affront, insult, snub
awanport	(noun) (nautical) outport
awans	(noun) promotion (advancement in position) [+ na (accusative) = to what position]; advancement, upliftment (act…
awanscena	(noun) (theater) proscenium
awansem	(adv) prematurely
awansować	(verb) (transitive, business) to promote [+ na (accusative) = to what position]; (intransitive, business) to get…
awansowy	(adj) (relational) promotional, promotion (advancement in position)
awantaż	(noun) (dated, sports) advantage; (dated) advantage
awantażownie	(adv) (dated) advantageously
awantażowny	(adj) (dated) advantageous
awantura	(noun) row, quarrel, brawl, fracas; affair, scandal
awantura arabska	(noun) (literary) unlikely disarray
awanturnictwo	(noun) rowdiness; (derogatory) scandalousness
awanturniczo	(adv) rowdily, quarrelsomely (of a person); (literary) adventurously, picaresquely
awanturniczość	(noun) rowdiness; (derogatory) scandalousness
awanturniczy	(adj) (relational, not comparable) fight, brawl; rowdy, quarrelsome (of a person)
awanturnik	(noun) someone prone to incite conflict; drama king, provocateur; troublemaker, hellraiser, ruffian
awanturować	(verb) (reflexive, archaic) to adventure
awanturyn	(noun) (mineralogy) aventurine
awanturzysta	(noun) (archaic) Alternative form of awanturnik
awanturzyć	(verb) (reflexive, archaic) Alternative form of awanturować
awaria	(noun) breakdown, failure (mechanical)
awarycja	(noun) (archaic) parsimony (reluctance to spend money)
awaryjne	(noun) (informal) emergency lights on a car
awaryjnie	(adv) unreliably (prone to breakdown)
awaryjność	(noun) unreliability (tendency to breakdown)
awaryjny	(adj) (not comparable) emergency, backup (of something used during a failure); unreliable (prone to breakdown)
awatar	(noun) (Hinduism) avatar; (computing, video games) avatar
awatara	(noun) (Hinduism) avatar
awen	(noun) (geology) aven
awenina	(noun) (biochemistry) avenin
awenowy	(adj) (geology, relational) aven
awenturyn	(noun) (mineralogy) Alternative form of awanturyn
awerroes	(name) Averroes
awers	(noun) (numismatics) obverse (heads side of a coin)
awersja	(noun) (literary) aversion [+ do (genitive) = to whom/what]
awersowy	(adj) (relational, numismatics) obverse
awersyjnie	(adv) (literary) aversely
awersyjny	(adj) (literary) averse
awestyjski	(adj) Avestan
awiacja	(noun) (archaic) aviation
awiacyjny	(adj) (archaic, relational) aviation
awiatka	(noun) (dated, rare) aviator's hat
awiator	(noun) (archaic) flyer, aviator
awiatyczny	(adj) (archaic, relational) aviation
awiatyka	(noun) (archaic) aviation
awicenna	(name) Avicenna
awifauna	(noun) (ecology) birdlife, avifauna
awiomatka	(noun) (aviation) aircraft carrier
awionetka	(noun) light aircraft, puddle jumper
awionika	(noun) (aviation, electronics) avionics (the study of electronics on an aircraft); (aviation, electronics)…
awitaminoza	(noun) (pathology) avitaminosis
awiważ	(noun) (textiles) a dying technique that brightens the hue
awiz	(noun) (archaic) Alternative form of awizo
awizacja	(noun) (mail) notice, slip; (literary) advice note
awizacyjny	(adj) (relational, mail) notice, slip
awizerski	(adj) (archaic, relational) advice note
awizo	(noun) (mail) notice, slip; (literary) advice note
awizować	(verb) (transitive) to notify; (transitive, literary) to notify
awizowiec	(noun) (military, nautical) aviso (a mid-sized colonial warship)
awokado	(noun) avocado (fruit); avocado (tree)
awpl	(name) Abbreviation of Akcja Wyborcza Polaków na Litwie.
awykonalny	(adj) impracticable, unworkable
azali	(particle) (archaic) interrogative particle: introduces a yes-no question
azalia	(noun) azalea (a plant of the obsolete genus Azalea)
azaliowy	(adj) (relational) azalea (a plant of the obsolete genus Azalea)
azaliż	(particle) (archaic, emphatic) Alternative form of azali
azariasz	(name) (biblical) Azariah, Uzziah (Biblical character)
azbest	(noun) asbestos
azbestocement	(noun) (construction) asbestos cement, fibro
azbestocementowy	(adj) (construction, relational) asbestos cement, fibro
azbestowy	(adj) (relational) asbestos, asbestine
azbestoza	(noun) (pathology) asbestosis
azbestyna	(noun) (construction) asbestine
azdyk	(noun) (nautical) Alternative form of asdic
azeotrop	(noun) (physics) azeotrope
azeotropia	(noun) (physics) azeotropy
azeotropowy	(adj) (relational, physics) azeotropic
azerbejdżan	(name) Azerbaijan (a country in Europe and Asia)
azerbejdżanin	(noun) Azerbaijani
azerbejdżański	(adj) (relational) Azerbaijani, of Azerbaijan
azerski	(adj) (relational) Azerbaijani, Azeri; Azeri (language)
azja	(name) Asia (continent)
azja mniejsza	(name) Asia Minor
azja południowa	(name) South Asia
azja zachodnia	(name) West Asia
azjata	(noun) Asian (person)
azjatycki	(adj) (relational) Asian
azoiczny	(adj) (relational, geology) azoic
azoik	(noun) (geology) azoic era
azoospermia	(noun) (medicine) azoospermia
azor	(name) given name for a dog
azory	(name) Azores (group of island in the Atlantic Ocean)
azot	(noun) nitrogen
azotan	(noun) (inorganic chemistry) nitrate (salt or ester of nitric acid)
azotanowy	(adj) (relational, inorganic chemistry) nitrate
azotawy	(adj) (chemistry) nitrous
azotek	(noun) (chemistry) nitride
azotniak	(noun) (chemistry, agriculture) nitrate fertilizer
azotobakter	(noun) (biology) nitrobacterium
azotobakteryna	(noun) (biology) a microscope slide containing live nitrobacteria
azotogen	(noun) (agriculture, medicine) A vaccine made of bacteria that fed only on carbohydrates
azotometr	(noun) (metrology) azotometer, nitrometer
azotować	(verb) (transitive) to nitride
azotowiec	(noun) (chemistry) pnictogen
azotowodorowy	(adj) (relational, inorganic chemistry) hydrazoic
azotowy	(adj) (relational) nitric, nitrogenous, nitrogenic
azotyn	(noun) (inorganic chemistry) nitrite
aztecki	(adj) (relational) Aztec (of or pertaining to the Mexica people); (relational) Aztec (of or pertaining to the…
aztecku	(adj) old dative of aztecki
aztek	(noun) Aztec (a Mexica); Aztec (a Nahua)
azuryt	(noun) (mineralogy) azurite
azurytowy	(adj) (relational, mineralogy) azurite
azydek	(noun) (inorganic chemistry) azide
azyl	(noun) (literary) asylum, refuge, sanctuary (a safe place); shelter (a place of safety for animals)
azylancki	(adj) (relational, politics, law) asylum seeker's
azylant	(noun) (politics, law) asylum seeker; (colloquial) shelter animal
azylowiec	(noun) (politics, law, colloquial) asylum seeker
azylowy	(adj) (relational) shelter (a place of safety for animals); (road control, relational) refuge island
azymut	(noun) (geometry, astronomy) azimuth; (geometry, astronomy) azimuth (the quadrant of an azimuth circle)
azymutalny	(adj) (relational, geometry, astronomy) azimuth; azimuthal
ałkierz	(noun) (Middle Polish) Alternative form of alkierz.
ałmaty	(name) Almaty (a city in Kazakhstan)
ałon	(noun) (Middle Polish) Alternative form of ałun.
ałtaj	(name) Altay; Altai Republic
ałtajski	(adj) (relational) Altaic
ałun	(noun) alum (astringent salt); (chemistry) alum
ałunit	(noun) (mineralogy) alunite
ałunitowy	(adj) (relational, mineralogy) alunite
ałunowy	(adj) (relational, mineralogy) alum; aluminous
ałycza	(noun) cherry plum, myrobalan plum (tree); cherry plum, myrobalan plum (fruit)
ałyczowy	(adj) (relational, botany) cherry plum, myrobalan plum
ałłachować	(verb) (intransitive) to shout “Allah!”, especially as a battle cry
aż	(conj) until; that much, so, so much so; emphasizes the scale of a quality
aż do	(prep) until [+genitive]
aż nadto	(particle) (idiomatic) all too, way too (an excessive amount) [+genitive]
aż po	(prep) up to, as far as [+accusative]
ażeby	(conj) (literary) in order to
ażur	(noun) (sewing) openwork
ażurować	(verb) (transitive, sewing) to perforate making openwork
ażurowo	(adv) diaphanously, transparently
ażurowy	(adj) (relational) openwork; diaphanous, see-through, transparent
ba	(particle) duh, obviously used when the speaker believes what has been said is obvious
baal	(name) (mythology, biblical) Baal; (figuratively) false god
baalizm	(noun) Baalism
baasistowski	(adj) Baathist
baasizm	(noun) Baathism
baba	(noun) (colloquial, somewhat derogatory) woman, crone, hag; (colloquial) wife, girlfriend
baba jaga	(name) (Slavic mythology) Baba Yaga
baba jędza	(name) (Slavic mythology) Alternative form of Baba Jaga
baba swoje, chłop swoje	(phrase) (idiomatic) Alternative form of dziad swoje, baba swoje
baba swoje, czart swoje	(phrase) (idiomatic) Alternative form of dziad swoje, baba swoje
baba swoje, dziad swoje	(phrase) (idiomatic) Alternative form of dziad swoje, baba swoje
baba z wozu, koniom lżej	(proverb) (idiomatic) good riddance to bad rubbish, good riddance
baba-chłop	(noun) (derogatory, colloquial) tomboy, butch
babcia	(noun) grandmother; (colloquial) old dear (an old woman)
babcia klozetowa	(noun) (colloquial, humorous) restroom attendant
babcin	(adj) short form of babciny
babciny	(adj) (relational) grandmother's, grandmother, grandmotherly; (relational) old dear
babciowy	(adj) (relational, colloquial) grandmother's, grandmother, grandmotherly; (relational, colloquial) old dear
babeczka	(noun) (colloquial) cupcake (woman); cupcake
babi	(adj) (relational, dated) women's, girl's, womanly
babiarz	(noun) (colloquial) womanizer
babie lato	(noun) (idiomatic) Indian summer (stretch of warm days in autumn); (idiomatic) gossamer (cobwebs)
babieć	(verb) (intransitive, colloquial, of a man) to become womanly, to become effeminate; (intransitive, colloquial,…
babiloński	(adj) Babylonian
babimór	(noun) stag's-horn clubmoss (Lycopodium clavatum)
babina	(noun) (colloquial, endearing) old woman, old dear
babiniec	(noun) (humorous) a large group of women; (religion) an area of a temple for women only
babizm	(noun) Babism
babka	(noun) babka (a type of cake); grandmother
babka bycza	(noun) round goby (Neogobius melanostomus)
babka klozetowa	(noun) (colloquial, humorous) Alternative form of babcia klozetowa
babka lancetowata	(noun) narrowleaf plantain (Plantago lanceolata)
babka piaskowa	(noun) pound cake
babka z piasku	(noun) (idiomatic) sandcastle
babkowate	(noun) Plantaginaceae; Gobiidae
babkowaty	(adj) grandmalike
babochłop	(noun) (derogatory, colloquial) Alternative form of baba-chłop
babol	(noun) (colloquial, derogatory) broad, bag (a woman); (colloquial, sports) chip shot (an easy goal)
babon	(noun) (colloquial, derogatory) broad, bag (a woman)
babranina	(noun) (colloquial) wallow, wallowing; (colloquial) wallow, goo, goop (some sticky liquid)
babrać	(verb) (colloquial, reflexive, derogatory) to put up with [+ w (locative) = in what]; (colloquial, reflexive) to…
babski	(adj) women's, girl's; (sometimes derogatory, colloquial) girly, effeminate
babskość	(noun) (sometimes derogatory, colloquial) girlishness, effeminacy
babstwo	(noun) (sometimes derogatory, colloquial, dated) girlishness, effeminacy
babsztyl	(noun) (derogatory) hag
babuin	(noun) yellow baboon (Papio cynocephalus)
babula	(noun) (colloquial or endearing) grandmother; (colloquial or endearing) elderly woman
babus	(noun) (colloquial, derogatory) broad, bag (a woman)
babuwista	(noun) (politics) Babouvist
babuwistyczny	(adj) (relational, politics) Babouvistic
babuwizm	(noun) (politics) Babouvism
baby z dziadem brakuje	(phrase) (colloquial, idiomatic, humorous) Alternative form of dziada z babą brakuje
baca	(noun) an elder shepherd from Karpaty
bach	(intj) boom, bam, pow, wham (used when imitating a sudden, hard hit)
bachanalia	(noun) (Greek mythology) Bacchanalia (a feast or an orgy in honor of Bacchus); (be extension, literary)…
bachancki	(adj) (relational, archaic) Bacchanalian, Bacchanalian's
bachant	(noun) (archaic) Bacchanalian
bachantka	(noun) bacchante (a priestess of Bacchus)
bachiczny	(adj) (relational, not comparable) bacchic (of or relating to Bacchus); (by extension) bacchic (drunken or jovial)
bachmat	(noun) (historical, military) sturdy Tatar horse used by Tatar and Polish cavalry
bachnąć	(verb) (intransitive, colloquial) to flop, to collapse (to fall with a thump); (transitive, colloquial) to…
bachor	(noun) (derogatory) brat (a selfish, spoiled, or unruly child); (dated) bastard, an illegitimate child
bachora	(noun) (Cieszyn Silesia) animal intestines
bachoro	(noun) (Cieszyn Silesia) intestine; (Cieszyn Silesia) hog stomach
bachorz	(noun) (regional, rare) belly, stomach, intestines
bachorza	(noun) muddy valley, marsh, wetland, swamp; (regional) intestines
bachować	(verb) (intransitive, archaic) Alternative form of bachusować
bachraty	(adj) (Cieszyn Silesia, Upper Silesia) fat, overweight
bachrocz	(noun) (Cieszyn Silesia) An overweight person; fatty; fatso; (Cieszyn Silesia) wealthy person; moneybags
bachróń	(noun) (Zaolzie) someone with a paunch or potbelly
bachur	(noun) (archaic) a child, especially a Jewish child; (archaic or dialectal) Alternative form of bachor
bachus	(name) (Roman mythology) Bacchus
bachusować	(verb) (intransitive, archaic) to revel
bachusowy	(adj) (relational, sometimes not comparable) Alternative form of bachiczny
bachórz	(noun) (Cieszyn Silesia) belly, stomach, intestines
baciar	(noun) (dated or Lviv) scamp, rascal, imp, batiar; (colloquial, humorous) sly fox (someone who can handle any…
baciarz	(noun) (dated or Lviv) Alternative form of baciar
bacować	(verb) (intransitive) to work as an elder shepherd from Karpaty
bacowski	(adj) (relational) of an elder shepherd from Karpaty
bacza	(noun) (archaic) Alternative form of baca
baczenie	(noun) (archaic) heed, alertness, vigilance
bacznie	(adv) alertly, attentively, closely, heedfully
baczność	(noun) wariness, attention; (military) attention
baczny	(adj) attentive, vigilant
baczyć	(verb) (intransitive, literary) to heed, to pay attention to, to mind [+ na (accusative)]
bacówka	(noun) a shelter for shepherds in Karpaty; a mountain shelter used by tourists
bad	(noun) (dated) health resort
badacz	(noun) researcher; explorer
badania podstawowe	(noun) basic research
badanie	(noun) (countable) exploration, examination; examination (inspection by a doctor)
badany	(noun) researchee (a person under examination)
badawczo	(adv) (not comparable) exploratorily; exploratorily, in an investigatory way, curiously (in a way showing…
badawczość	(noun) exploratoriness, the quality of being investigatory
badawczy	(adj) (relational, not comparable) exploratory, investigatory, research; exploratory, investigatory, curious…
badać	(verb) (transitive, medicine) to test, to probe; (transitive) to explore, to research, to study
badać grunt	(verb) (intransitive, idiomatic) to test the waters
badian	(noun) star anise (Illicium verum); star anise (the spice)
badminton	(noun) badminton
badmintonista	(noun) badminton player
badmintonowy	(adj) (relational) badminton
badyl	(noun) (colloquial) dried stalk, stem; (colloquial, humorous) weed (a worthless plant)
badylarka	(noun) harvest mouse (Micromys minutus)
badylarski	(adj) (relational, colloquial, derogatory) gardener's
badylarstwo	(noun) (colloquial, derogatory) gardening
badylarz	(noun) (colloquial, derogatory) gardener; (Łódź) florist
badylasty	(adj) dry stalked, dry stemmed
badylkowaty	(adj) dry stalked, dry stemmed
badylowaty	(adj) dry stalked, dry stemmed
badylowy	(adj) (relational) dry stalk, dry stem
badziew	(noun) (colloquial, derogatory, rare) Alternative form of badziewie
badziewie	(noun) (colloquial, derogatory) piece of crud, crap (something of low quality)
badziewnie	(adv) (colloquial, derogatory) crappily
badziewny	(adj) (colloquial, derogatory) crappy (of low quality)
bagatela	(noun) (literary) bagatelle, trifle; (music) bagatelle
bagatelizować	(verb) (transitive, literary) to bagatellize, to belittle, to downplay, to play down
bagatelka	(particle) (rare) Used to emphasize the importance and value of something just said
bagatelnie	(adv) (literary) trivially (in a way of little importance); (literary) trivially (i.e. a trivally small amount)
bagatelność	(noun) (literary) triviality, trivialness
bagatelny	(adj) (literary) trivial (of little importance)
bagaż	(noun) luggage, baggage (traveller's containers); mass, stock
bagażnik	(noun) boot, trunk (luggage storage compartment of a car); baggage carrier
bagażowe	(noun) (colloquial) baggage transfer fee
bagażownia	(noun) baggage room (a room for storing baggage)
bagażowy	(adj) (relational) baggage, luggage; porter, baggage handler
bagażówka	(noun) (colloquial) baggage taxi, taxi truck (a vehicle for transporting baggage)
bagdad	(name) Baghdad (the capital city of Iraq)
bagiennie	(adv) in a way characteristic of a swamp or bog
bagiennik	(noun) bagiennik
bagienność	(noun) swampiness, bogginess
bagienny	(adj) (relational) swamp, swampy; swampy, boggy
bagier	(noun) (nautical) dredger, dredgeboat
bagietka	(noun) baguette; glass rod
bagnet	(noun) bayonet (weapon); (colloquial) dipstick
bagnetowy	(adj) (relational) bayonet; (relational) dipstick
bagniak	(noun) any moss of the genus Philonotis; a species of fungus, Suillus variegatus
bagnica	(noun) pod grass, any plant of the genus Scheuchzeria
bagniczka	(noun) a liverwort belonging to the genus Cladopodiella
bagnisko	(noun) (obsolete) crowberry, any plant of the genus Empetrum
bagnistość	(noun) swampiness, bogginess
bagnisty	(adj) swampy, boggy
bagno	(noun) swamp, marsh, bog; (colloquial) mud
bagnoznawstwo	(noun) telmatology
bagrować	(verb) (transitive) to dredge
bagrowisko	(noun) dredge talus
bagrownica	(noun) (nautical) dredger, dredgeboat
bagrowniczy	(adj) (relational, nautical) dredger, dredgeboat
bagrowy	(adj) (relational, nautical) dredger, dredgeboat
bagrzysta	(noun) (nautical) dredger, dredgerman
bahamy	(name) Bahamas
bahrajn	(name) Bahrain
bainit	(noun) (metallurgy) bainite
baj	(noun) (literature) in-story storyteller or narrator in children's literature
baja	(noun) baize; (Bukovina) bathroom
bajacz	(noun) (dated) storyteller
bajadera	(noun) (Hinduism, historical) bayadère, devadasi (Hindu dancing-girl)
bajaderka	(noun) rum ball
bajan	(noun) (music) bayan (an accordeon-like instrument)
bajanizm	(noun) Baianism
bajarski	(adj) (relational, dated) storyteller, storyteller's
bajarstwo	(noun) (sometimes derogatory) storytelling
bajarz	(noun) storyteller (one who tells stories, real or not); (derogatory) storyteller (liar, fibber)
bajać	(verb) (transitive, literary) to spin a yarn, to tell fables or legends; (transitive, literary) to spin a yarn,…
bajbardzo	(noun) (dated, humorous, ironic) small thing, someone or something not important
bajbot	(noun) (nautical) dinghy (small rowboat)
bajczarski	(adj) (colloquial) gossipy, long-tongued
bajczarstwo	(noun) chattiness
bajczarz	(noun) gossiper, chatter (one who chats or gossips)
bajczyć	(verb) (intransitive, colloquial) to jabber, to yak, to chatter (to converse)
bajda	(noun) (colloquial, derogatory) nonsense, baloney, hogwash; (colloquial) fable, tale
bajdura	(noun) (colloquial) nonsense, gibberish
bajdurzyć	(verb) (transitive, colloquial) to drivel, to fable, to prate (to talk nonsense)
bajduła	(noun) (colloquial) storyteller
bajecznie	(adv) fabulously (very well; wonderfully)
bajeczność	(noun) fabulousness, fabulosity; fabulousness, fabulosity
bajeczny	(adj) (relational, not comparible) fairy tale, fabulous; fabulous (very good; wonderful)
bajer	(noun) (colloquial) baloney, white lie, pitch; (colloquial) luxury accessory
bajerancki	(adj) (colloquial) awesome, top notch (good)
bajerancko	(adv) (colloquial) awesomely, spectacularly (in a good way)
bajeranctwo	(noun) (colloquial) blagging, smooth talk
bajerant	(noun) (colloquial) blagger, smooth operator, smooth talker
bajerny	(adj) (colloquial) awesome, great (good)
bajerować	(verb) (transitive, colloquial) to blag, to smooth talk
bajgiel	(noun) (Kraków, Lviv, Warsaw) bagel (toroidal bread roll)
bajka	(noun) fable, apologue; fable (fiction; untruth; falsehood)
bajka o żelaznym wilku	(noun) (idiomatic) cock and bull story
bajka z tysiąca i jednej nocy	(noun) (idiomatic) something too good to be true
bajkarz	(noun) (dated) storyteller (one who tells stories, real or not)
bajkał	(name) Baikal
bajkopis	(noun) (literature) fabulist (one who writes or tells fables)
bajkopisarski	(adj) (derogatory) fabulistic, fabulist (made up, not real)
bajkopisarstwo	(noun) (literature) fable writing (the act of making children's fables); (literature) fables collectively
bajkopisarz	(noun) (literature) fabulist (one who writes or tells fables); (derogatory) fabulist, storyteller (liar, fibber)
bajkotwórczy	(adj) (rare) fablelike
bajkowo	(adv) fabulously (very well; wonderfully)
bajkowość	(noun) fabulousness, fabulosity; fabulousness, fabulosity
bajkowy	(adj) (relational, not comparable) fairy tale; fabulous (very good; wonderful)
bajopis	(noun) (literature) fabulist (one who writes or tells fables)
bajor	(noun) (dated) Alternative form of bajoro
bajoro	(noun) (colloquial) mudpuddle; bog
bajowy	(adj) (relational) fairy tale; (relational) baize
bajoński	(adj) (relational) Bayonne
bajońskie sumy	(noun) (idiomatic) very large amounts of money
bajpas	(noun) (medicine) bypass (alternative passage for a bodily fluid)
bajronicznie	(adv) (literature) Byronically
bajroniczność	(noun) (literature) The quality of being Byronic
bajroniczny	(adj) (relational, literature) Byronic
bajronista	(noun) (literature) Byronist
bajronistyczny	(adj) (relational, literature) Byronist
bajronizm	(noun) (literature) Byronism
bajronizować	(verb) (intransitive) to Byronize
bajronowski	(adj) (relational, literature) Alternative form of bajroniczny
bajroński	(adj) (relational, literature) Alternative form of bajroniczny
bajt	(noun) (computing) byte (8-bit unit)
bajtlować	(verb) (transitive, colloquial) to lead on (to deceive with words) [+ o (locative) = about what]
baju, baju, będziesz w raju	(phrase) (idiomatic) liar liar pants on fire
bajzel	(noun) (colloquial) mess, bedlam, fuddle; (colloquial) cathouse, brothel
bajzelmama	(noun) (colloquial) madam, female brothelkeeper
bajówka	(noun) baize jacket
bajęda	(noun) (archaic, colloquial) gab (idle chatter)
bak	(noun) tank (fuel reservoir of a vehicle); tank (tankful)
baka	(noun) (navigation, nautical) seamark
bakalie	(noun) dried fruit and nuts
bakaliowy	(adj) (relational) dried fruit and nuts
bakan	(noun) (nautical) beacon
bakarat	(noun) (card games, uncountable) baccarat; (uncountable) crystal glass from Baccarat
bakaratowy	(adj) (relational, card games) baccarat; (relational) crystal glass from Baccarat
bakać	(verb) (transitive, intransitive, slang) to smoke weed, to toke
bakałarz	(noun) (archaic) teacher; (historical) a person who has achieved a bachelor's degree in a medieval university
bakbort	(noun) (nautical) Alternative form of bakburta
bakburta	(noun) (nautical) port (left side of a ship)
bakcyl	(noun) (dated) germ, microbe; (literary) bug, enthusiasm
bakelit	(noun) (organic chemistry) Bakelite
bakelitowy	(adj) (relational, organic chemistry) Bakelite
baken	(noun) (nautical) Alternative form of bakan
bakier	(noun) Only used in na bakier.
bakierować	(verb) (transitive, archaic) to bend, to curve, to buckle; (reflexive, archaic) to be bent, to be curved, to be…
bakijski	(adj) Bakuvian
bakista	(noun) (nautical) locker (a storage container on a ship)
baklawa	(noun) baklava
bakonista	(noun) Baconian
bakonizm	(noun) Baconianism (the scientific methods of Francis Bacon)
baks	(noun) (colloquial, slightly dated) buck, U.S. dollar
baksztag	(noun) (nautical) running backstay (support rope); (nautical) wind on the backstay
